symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2016-09-12 00:00:00+00:00,57.05,57.205,55.61,56.0,29302962,52.7904435123,52.9338706594,51.4579590485,51.8188402575,29302962,0.0,1.0
MSFT,2016-09-13 00:00:00+00:00,56.53,56.65,56.05,56.5,30130213,52.3092685671,52.420308939,51.8651070791,52.2815084741,30130213,0.0,1.0
MSFT,2016-09-14 00:00:00+00:00,56.26,56.63,56.03,56.39,24274273,52.0594277301,52.4018022104,51.8466003505,52.1797214664,24274273,0.0,1.0
MSFT,2016-09-15 00:00:00+00:00,57.19,57.35,55.98,56.15,27062614,52.9199906129,53.0680444423,51.8003335288,51.9576407225,27062614,0.0,1.0
MSFT,2016-09-16 00:00:00+00:00,57.25,57.63,56.75,57.63,44606965,52.9755107989,53.3271386435,52.5128425824,53.3271386435,44606965,0.0,1.0
MSFT,2016-09-19 00:00:00+00:00,56.93,57.75,56.85,57.27,20937104,52.6794031403,53.4381790155,52.6053762257,52.9940175276,20937104,0.0,1.0
MSFT,2016-09-20 00:00:00+00:00,56.81,57.35,56.75,57.35,17383982,52.5683627683,53.0680444423,52.5128425824,53.0680444423,17383982,0.0,1.0
MSFT,2016-09-21 00:00:00+00:00,57.76,57.85,57.08,57.51,33707272,53.4474323799,53.5307126588,52.8182036053,53.2160982716,33707272,0.0,1.0
MSFT,2016-09-22 00:00:00+00:00,57.82,58.0,57.63,57.92,19822203,53.5029525658,53.6695131238,53.3271386435,53.5954862092,19822203,0.0,1.0
MSFT,2016-09-23 00:00:00+00:00,57.43,57.91,57.38,57.87,19955336,53.1420713569,53.5862328448,53.0958045353,53.5492193875,19955336,0.0,1.0
MSFT,2016-09-26 00:00:00+00:00,56.9,57.14,56.83,57.08,21688720,52.6516430473,52.8737237913,52.586869497,52.8182036053,21688720,0.0,1.0
MSFT,2016-09-27 00:00:00+00:00,57.95,58.06,56.681,56.93,28065071,53.6232463022,53.7250333098,52.4489943685,52.6794031403,28065071,0.0,1.0
MSFT,2016-09-28 00:00:00+00:00,58.03,58.06,57.67,57.88,20536400,53.6972732168,53.7250333098,53.3641521009,53.5584727518,20536400,0.0,1.0
MSFT,2016-09-29 00:00:00+00:00,57.4,58.1679,57.21,57.81,25463536,53.1143112639,53.8248771109,52.9384973416,53.4936992015,25463536,0.0,1.0
MSFT,2016-09-30 00:00:00+00:00,57.6,57.77,57.34,57.57,29910788,53.2993785505,53.4566857442,53.0587910779,53.2716184576,29910788,0.0,1.0
MSFT,2016-10-03 00:00:00+00:00,57.42,57.55,57.06,57.405,19189515,53.1328179926,53.2531117289,52.7996968766,53.1189379461,19189515,0.0,1.0
MSFT,2016-10-04 00:00:00+00:00,57.24,57.595,56.97,57.27,20085874,52.9662574346,53.2947518684,52.7164165977,52.9940175276,20085874,0.0,1.0
MSFT,2016-10-05 00:00:00+00:00,57.64,57.9601,57.26,57.29,16726411,53.3363920079,53.6325922001,52.9847641633,53.0125242563,16726411,0.0,1.0
MSFT,2016-10-06 00:00:00+00:00,57.74,57.86,57.28,57.74,16212611,53.4289256512,53.5399660232,53.0032708919,53.4289256512,16212611,0.0,1.0
MSFT,2016-10-07 00:00:00+00:00,57.8,57.98,57.42,57.85,20089020,53.4844458372,53.6510063952,53.1328179926,53.5307126588,20089020,0.0,1.0
MSFT,2016-10-10 00:00:00+00:00,58.04,58.39,57.87,57.91,18196509,53.7065265811,54.0303943328,53.5492193875,53.5862328448,18196509,0.0,1.0
MSFT,2016-10-11 00:00:00+00:00,57.19,58.02,56.89,57.89,26497418,52.9199906129,53.6880198525,52.642389683,53.5677261162,26497418,0.0,1.0
MSFT,2016-10-12 00:00:00+00:00,57.11,57.27,56.4,57.11,22177464,52.8459636983,52.9940175276,52.1889748307,52.8459636983,22177464,0.0,1.0
MSFT,2016-10-13 00:00:00+00:00,56.92,57.3,56.315,56.7,25313748,52.670149776,53.0217776206,52.1103212339,52.4665757607,25313748,0.0,1.0
MSFT,2016-10-14 00:00:00+00:00,57.42,57.74,57.12,57.12,27402451,53.1328179926,53.4289256512,52.8552170626,52.8552170626,27402451,0.0,1.0
MSFT,2016-10-17 00:00:00+00:00,57.22,57.46,56.87,57.36,23830014,52.9477507059,53.1698314499,52.6238829543,53.0772978066,23830014,0.0,1.0
MSFT,2016-10-18 00:00:00+00:00,57.66,57.945,57.41,57.53,19149538,53.3548987365,53.61861962,53.1235646282,53.2346050002,19149538,0.0,1.0
MSFT,2016-10-19 00:00:00+00:00,57.53,57.84,57.395,57.47,22878397,53.2346050002,53.5214592945,53.1096845817,53.1790848142,22878397,0.0,1.0
MSFT,2016-10-20 00:00:00+00:00,57.25,57.52,56.66,57.5,49455612,52.9755107989,53.2253516359,52.4295623034,53.2068449072,49455612,0.0,1.0
MSFT,2016-10-21 00:00:00+00:00,59.66,60.45,59.485,60.28,80032206,55.2055716029,55.9365873851,55.0436377271,55.7792801914,80032206,0.0,1.0
MSFT,2016-10-24 00:00:00+00:00,61.0,61.0,59.93,59.94,54066978,56.4455224233,56.4455224233,55.4554124398,55.4646658042,54066978,0.0,1.0
MSFT,2016-10-25 00:00:00+00:00,60.99,61.3699,60.8,60.85,35137164,56.436269059,56.78780437,56.2604551367,56.3067219583,35137164,0.0,1.0
MSFT,2016-10-26 00:00:00+00:00,60.63,61.2,60.47,60.81,29911608,56.1031479431,56.63058971,55.9550941137,56.269708501,29911608,0.0,1.0
MSFT,2016-10-27 00:00:00+00:00,60.1,60.83,60.09,60.61,28479856,55.6127196335,56.2882152297,55.6034662691,56.0846412144,28479856,0.0,1.0
MSFT,2016-10-28 00:00:00+00:00,59.87,60.52,59.58,60.01,33574684,55.3998922538,56.0013609354,55.1315446882,55.5294393545,33574684,0.0,1.0
MSFT,2016-10-31 00:00:00+00:00,59.92,60.42,59.92,60.16,26434697,55.4461590755,55.9088272921,55.4461590755,55.6682398195,26434697,0.0,1.0
MSFT,2016-11-01 00:00:00+00:00,59.8,60.02,59.25,59.97,24532986,55.3351187035,55.5386927188,54.8261836653,55.4924258972,24532986,0.0,1.0
MSFT,2016-11-02 00:00:00+00:00,59.43,59.93,59.3,59.82,22147005,54.9927442232,55.4554124398,54.8724504869,55.3536254322,22147005,0.0,1.0
MSFT,2016-11-03 00:00:00+00:00,59.21,59.64,59.11,59.53,21600427,54.789170208,55.1870648742,54.6966365646,55.0852778666,21600427,0.0,1.0
MSFT,2016-11-04 00:00:00+00:00,58.71,59.28,58.52,58.65,28697016,54.3265019914,54.8539437583,54.1506880691,54.2709818054,28697016,0.0,1.0
MSFT,2016-11-07 00:00:00+00:00,60.42,60.52,59.78,59.78,31664798,55.9088272921,56.0013609354,55.3166119749,55.3166119749,31664798,0.0,1.0
MSFT,2016-11-08 00:00:00+00:00,60.47,60.78,60.15,60.55,22935355,55.9550941137,56.241948408,55.6589864551,56.0291210284,22935355,0.0,1.0
MSFT,2016-11-09 00:00:00+00:00,60.17,60.59,59.2,60.0,49632479,55.6774931838,56.0661344857,54.7799168436,55.5201859902,49632479,0.0,1.0
MSFT,2016-11-10 00:00:00+00:00,58.7,60.49,57.6302,60.48,57822394,54.317248627,55.9736008424,53.3273237108,55.9643474781,57822394,0.0,1.0
MSFT,2016-11-11 00:00:00+00:00,59.02,59.116,58.01,58.23,38767843,54.6133562856,54.7021885832,53.6787664881,53.8823405034,38767843,0.0,1.0
MSFT,2016-11-14 00:00:00+00:00,58.12,59.08,57.28,59.02,41328422,53.7805534958,54.6688764716,53.0032708919,54.6133562856,41328422,0.0,1.0
MSFT,2016-11-15 00:00:00+00:00,58.87,59.49,58.315,58.33,35904126,54.8354370296,55.4129463036,54.3184730828,54.3324450813,35904126,0.39,1.0
MSFT,2016-11-16 00:00:00+00:00,59.65,59.66,58.81,58.94,27332475,55.5619809549,55.5712956206,54.7795490354,54.9006396896,27332475,0.0,1.0
MSFT,2016-11-17 00:00:00+00:00,60.64,60.95,59.965,60.41,32132728,56.4841328601,56.7728874971,55.8553929248,56.2698955488,32132728,0.0,1.0
MSFT,2016-11-18 00:00:00+00:00,60.35,61.14,60.3,60.78,27686311,56.2140075546,56.9498661456,56.167434226,56.6145381801,27686311,0.0,1.0
MSFT,2016-11-21 00:00:00+00:00,60.86,60.97,60.42,60.5,19652595,56.6890555057,56.7915168285,56.2792102145,56.3537275402,19652595,0.0,1.0
MSFT,2016-11-22 00:00:00+00:00,61.12,61.26,60.805,60.98,23206700,56.9312368142,57.0616421341,56.6378248443,56.8008314942,23206700,0.0,1.0
MSFT,2016-11-23 00:00:00+00:00,60.4,61.1,60.25,61.01,21848913,56.2605808831,56.9126074827,56.1208608975,56.8287754914,21848913,0.0,1.0
MSFT,2016-11-25 00:00:00+00:00,60.53,60.53,60.13,60.3,8409616,56.3816715373,56.3816715373,56.009084909,56.167434226,8409616,0.0,1.0
MSFT,2016-11-28 00:00:00+00:00,60.61,61.02,60.21,60.34,20732619,56.456188863,56.8380901571,56.0836022346,56.2046928889,20732619,0.0,1.0
MSFT,2016-11-29 00:00:00+00:00,61.09,61.41,60.52,60.65,22366721,56.903292817,57.2013621197,56.3723568716,56.4934475258,22366721,0.0,1.0
MSFT,2016-11-30 00:00:00+00:00,60.26,61.18,60.215,60.86,34655435,56.1301755632,56.9871248084,56.0882595675,56.6890555057,34655435,0.0,1.0
